rank,teamId,teamName,submissionDate,score
1,16081764,YUTO KOJIMA,2026-08-09 00:03:37.196000,1.86
2,16557922,Andy liu,2026-08-03 12:09:06.573000,1.69
3,16371045,Lord Han Solo,2026-08-08 20:46:31.960000,1.65
4,15735428,GeniusYY,2026-08-06 00:13:44.720000,1.64
5,16406081,Tecnod8.AI,2026-08-09 00:06:02.380000,1.61
6,15504856,FOYSAL,2026-08-08 00:38:21.596000,1.61
7,16025402,Helmut AGI,2026-08-08 14:15:04.430000,1.61
8,15632507,DhanaLakshmiMalla,2026-08-08 16:03:00.793000,1.60
9,16364346,cstl,2026-08-07 20:59:30.886000,1.59
10,15814821,Biubiu,2026-08-08 00:07:17.863000,1.58
11,15622956,ippeiogawa,2026-08-08 23:53:13.803000,1.58
12,16609469,Nkosi Ndwandwe,2026-08-09 00:01:50.943000,1.58
13,16475496,Yuchen20,2026-08-06 19:51:23.050000,1.58
14,15488219,Mathurin Ache,2026-08-08 07:32:50.283000,1.56
15,16032510,anngle,2026-07-25 04:14:21.790000,1.56
16,15609417,NoOneAhead,2026-08-08 01:02:54.103000,1.56
17,15525358,paul,2026-08-08 09:16:57.706000,1.54
18,15590762,"Seok, Jeongeum",2026-08-08 01:39:22.223000,1.54
19,15520570,Dinesh kumar Thiyagarajan,2026-08-08 14:25:42.333000,1.50
20,16548313,Scott Le Grand,2026-08-08 00:20:04.763000,1.50
