teamId,teamName,submissionDate,score
16364346,cstl,2026-08-13 20:08:17.530000,2.70
16081764,YUTO KOJIMA,2026-08-14 00:00:41.473000,1.86
16557922,Andy liu,2026-08-03 12:09:06.573000,1.69
16371045,Lord Han Solo,2026-08-13 19:08:13.463000,1.65
16680829,BambooCopter Analytics,2026-08-13 12:34:14.420000,1.64
15735428,GeniusYY,2026-08-14 01:59:02.916000,1.64
15486995,Tufa Labs,2026-08-13 19:47:11.773000,1.62
16406081,Tecnod8.AI,2026-08-12 16:52:12.216000,1.61
15504856,FOYSAL,2026-08-13 16:21:23.433000,1.61
15494354,hvp,2026-08-11 15:56:16.526000,1.61
16025402,Helmut AGI,2026-08-13 05:06:24.136000,1.61
15632507,DhanaLakshmiMalla,2026-08-11 18:06:52.060000,1.60
15814821,Biubiu,2026-08-13 12:36:47.243000,1.58
15622956,ippeiogawa,2026-08-14 01:02:07.733000,1.58
16609469,Nkosi Ndwandwe,2026-08-14 02:21:26.206000,1.58
16475496,Yuchen20,2026-08-13 20:36:38.136000,1.58
15494569,kglctf,2026-08-12 22:18:41.683000,1.57
15488219,Mathurin Ache,2026-08-13 07:17:40.496000,1.56
16032510,anngle,2026-07-25 04:14:21.790000,1.56
15609417,NoOneAhead,2026-08-13 00:01:53.373000,1.56
