Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16364346,cstl,2026-08-24 15:35:26,5.99,35,"gatamaz,tehnar"
2,16371045,Lord Han Solo,2026-08-24 22:38:33,4.99,42,lordhansolo
3,15486995,Tufa Labs,2026-08-24 15:48:08,4.58,117,"dlorah,driessmit1,infinitecreativity,jeroencottaar,pressman1,stefano1283"
4,16665305,Tony G,2026-08-24 00:02:25,3.17,11,junvalue
5,16384837,Daniel Franzen,2026-08-24 19:33:55,2.88,51,dfranzen
6,15497833,Tony Li,2026-08-24 04:54:42,2.80,10,tonylica
7,16296124,Tatu Helander,2026-08-25 00:00:35,2.78,71,tatuhelander
8,15906822,Akhil Tolani,2026-08-24 07:42:35,2.73,76,saltb0x
9,16617501,AbeLincoln1865,2026-08-24 09:33:44,2.72,16,abelincoln1865
10,15972322,wking edewd,2026-08-22 02:47:50,2.70,3,wkingedewd
11,16766034,Diya Sharma,2026-08-24 11:20:25,2.69,1,diyasharmanexa
12,15653548,The AGI Boys,2026-08-24 07:17:37,2.66,45,"johnjanson,naladwepo,romanrozen,romantamrazov"
13,16537511,Vineeth Sai Varikuntla,2026-08-25 00:08:30,2.65,12,vineethsaivs
14,15732416,Jonathan Wang2022,2026-08-24 03:53:38,2.59,13,jonathanwang2022
15,15522677,Junhua Yang,2026-08-24 16:16:07,2.57,144,junhuay
