rank,teamName,score,submissionCount,lastSubmissionDate
,cstl,3.57,31,2026-08-20 19:34:31
,Tufa Labs,2.97,113,2026-08-20 17:52:16
,Lord Han Solo,2.76,38,2026-08-20 23:02:18
,Akhil Tolani,2.73,74,2026-08-21 00:04:56
,AbeLincoln1865,2.72,12,2026-08-20 04:01:13
,The AGI Boys,2.66,41,2026-08-20 05:35:54
,Jonathan Wang2022,2.59,10,2026-08-20 01:07:44
,Daniel Franzen,2.58,47,2026-08-20 12:54:06
,Junhua Yang,2.57,141,2026-08-20 19:14:23
,cocoaAI,2.56,31,2026-08-21 00:07:21
,rellik13,2.53,8,2026-08-20 03:57:06
,Pathik Patel,2.50,70,2026-08-20 14:03:35
,Pathetic384,2.47,5,2026-08-21 00:00:31
,Cyrus,2.43,3,2026-08-20 22:25:58
,暗黑AGI,2.41,37,2026-08-21 02:07:00
