rank,teamId,teamName,submissionDate,score
1,16081764,YUTO KOJIMA,2026-08-06 00:08:32.786000,1.86
2,16557922,Andy liu,2026-08-03 12:09:06.573000,1.69
3,16371045,Lord Han Solo,2026-08-05 20:14:16.636000,1.65
4,15735428,GeniusYY,2026-08-06 00:13:44.720000,1.64
5,16406081,Tecnod8.AI,2026-08-05 03:37:34.273000,1.61
6,15504856,FOYSAL,2026-08-05 03:34:07.836000,1.61
7,15632507,DhanaLakshmiMalla,2026-08-05 17:44:18.043000,1.60
8,16364346,cstl,2026-08-04 23:49:20.610000,1.59
9,15814821,Biubiu,2026-08-05 15:33:48.756000,1.58
10,15622956,ippeiogawa,2026-08-05 23:37:40.433000,1.58
11,16609469,Nkosi Ndwandwe,2026-08-06 00:05:06.836000,1.58
12,16475496,Yuchen20,2026-08-05 20:38:10.640000,1.58
13,15488219,Mathurin Ache,2026-08-05 09:03:04.173000,1.56
14,16032510,anngle,2026-07-25 04:14:21.790000,1.56
15,15609417,NoOneAhead,2026-08-05 01:47:14.393000,1.56
16,15525358,paul,2026-08-05 07:53:56.866000,1.54
