  teamId  teamName                   submissionDate              score  
--------  -------------------------  --------------------------  -----  
16364346  cstl                       2026-08-28 17:45:24.196000  5.99   
16371045  Lord Han Solo              2026-08-28 22:27:40.616000  4.99   
15486995  Tufa Labs                  2026-08-28 10:55:35.853000  4.67   
15823039  Tong Hui Kang              2026-08-28 01:38:34.886000  4.27   
16609552  rfbr                       2026-08-28 14:50:23.243000  3.37   
16665305  Tony G                     2026-08-27 06:36:21.056000  3.17   
16384837  Daniel Franzen             2026-08-28 23:25:25.400000  3.15   
15615054  OzanM.                     2026-08-28 06:11:04.123000  2.98   
15490570  Abstraction Lab & MindsAI  2026-08-27 14:54:08.690000  2.94   
15497833  Tony Li                    2026-08-28 12:40:04.193000  2.80   
16296124  Tatu Helander              2026-08-28 07:03:58.943000  2.78   
15906822  Akhil Tolani               2026-08-28 18:14:47.400000  2.73   
16617501  AbeLincoln1865             2026-08-28 16:30:29.126000  2.72   
15972322  wking edewd                2026-08-22 02:47:50.063000  2.70   
16766034  Diya Sharma                2026-08-24 11:20:25.040000  2.69   
