rank,teamId,teamName,submissionDate,score
1,16081764,"YUTO KOJIMA",2026-08-10 00:00:54.903000,1.86
2,16557922,"Andy liu",2026-08-03 12:09:06.573000,1.69
3,16371045,"Lord Han Solo",2026-08-09 19:46:30.036000,1.65
4,15735428,"GeniusYY",2026-08-06 00:13:44.720000,1.64
5,16406081,"Tecnod8.AI",2026-08-09 00:06:02.380000,1.61
6,15504856,"FOYSAL",2026-08-09 05:42:13.480000,1.61
7,16025402,"Helmut AGI",2026-08-09 13:14:39.956000,1.61
8,15632507,"DhanaLakshmiMalla",2026-08-09 18:07:17.923000,1.60
9,16364346,"cstl",2026-08-09 10:13:38.096000,1.59
10,15814821,"Biubiu",2026-08-09 15:59:30.590000,1.58
11,15622956,"ippeiogawa",2026-08-09 21:08:51.776000,1.58
12,16609469,"Nkosi Ndwandwe",2026-08-10 00:01:18.430000,1.58
13,16475496,"Yuchen20",2026-08-09 21:15:13.536000,1.58
14,15488219,"Mathurin Ache",2026-08-09 09:18:54.276000,1.56
15,16032510,"anngle",2026-07-25 04:14:21.790000,1.56
16,15609417,"NoOneAhead",2026-08-10 00:13:19.016000,1.56
17,15525358,"paul",2026-08-09 16:33:39.790000,1.54
18,15590762,"Seok, Jeongeum",2026-08-09 11:40:14.096000,1.54
19,15520570,"Whatever it takes...",2026-08-09 07:18:14.610000,1.50
20,16548313,"Scott Le Grand",2026-08-10 00:07:15.293000,1.50
