  teamId  teamName                   submissionDate              score  
--------  -------------------------  --------------------------  -----  
16364346  cstl                       2026-08-26 15:48:54.356000  5.99   
16371045  Lord Han Solo              2026-08-27 03:49:47.303000  4.99   
15486995  Tufa Labs                  2026-08-27 07:10:25.516000  4.67   
15823039  Tong Hui Kang              2026-08-27 01:11:30.036000  3.88   
16609552  rfbr                       2026-08-27 14:48:23.676000  3.37   
16665305  Tony G                     2026-08-27 06:36:21.056000  3.17   
16384837  Daniel Franzen             2026-08-27 16:39:13.396000  3.04   
15615054  OzanM.                     2026-08-27 05:53:12.580000  2.98   
15490570  Abstraction Lab & MindsAI  2026-08-27 14:54:08.690000  2.94   
15497833  Tony Li                    2026-08-27 23:13:34.103000  2.80   
16296124  Tatu Helander              2026-08-27 19:14:02.606000  2.78   
15906822  Akhil Tolani               2026-08-27 00:32:10.253000  2.73   
16617501  AbeLincoln1865             2026-08-27 15:31:42.946000  2.72   
15972322  wking edewd                2026-08-22 02:47:50.063000  2.70   
16766034  Diya Sharma                2026-08-24 11:20:25.040000  2.69   
15653548  The AGI Boys               2026-08-26 08:35:48.893000  2.66   
16537511  Vineeth Sai Varikuntla     2026-08-28 00:06:21.656000  2.65   
16497222  AI Winter                  2026-08-27 05:18:07.513000  2.59   
15732416  Jonathan Wang2022          2026-08-27 01:08:19.813000  2.59   
15522677  Junhua Yang                2026-08-27 17:46:57.120000  2.57   
