teamId,teamName,submissionDate,score
16364346,cstl,2026-08-17 17:00:34,2.81
16371045,Lord Han Solo,2026-08-17 20:04:00,2.76
16384837,Daniel Franzen,2026-08-17 23:28:42,2.58
16706087,rellik13,2026-08-16 22:24:00,2.53
16569113,Tanaka Ai24,2026-08-17 05:35:36,2.35
15792174,Fufront-RyanX-AGI-Team,2026-08-17 00:01:24,2.33
15518436,Kevin E R MILLE,2026-08-17 01:22:42,2.22
15508513,keithtyser,2026-08-18 00:14:29,2.13
16551138,Ethan Lee,2026-08-17 05:10:10,2.13
16438894,Nikita Sorokin,2026-08-17 18:10:50,2.10
16460810,Nithin Kumar R C ,2026-08-18 00:33:26,2.08
15490570,@Abstraction Lab,2026-08-17 17:04:27,2.05
16246219,Tara Labs-speedsci,2026-08-18 00:26:48,2.05
15605182,Son Pham & Mark Barney,2026-08-17 22:01:11,2.03
16475658,Extremis,2026-08-17 19:49:11,2.03
15496021,hongan,2026-08-18 00:23:39,2.02
16724574,egangu,2026-08-16 01:12:24,2.01
16496892,Muhammad Haaris 27083,2026-08-17 00:41:00,2.00
15488719,Yusaku Muroya,2026-08-18 00:43:33,1.98
15916756,MLRush,2026-08-17 07:38:22,1.97
