teamId,teamName,submissionDate,score
16364346,cstl,2026-08-13 20:08:17.530000,2.70
16384837,Daniel Franzen,2026-08-14 21:37:51.130000,2.58
16438894,Nikita Sorokin,2026-08-14 19:30:46.943000,2.10
15488719,Yusaku Muroya,2026-08-15 02:36:59.440000,1.98
16617501,AbeLincoln1865,2026-08-15 00:22:10.456000,1.90
16081764,YUTO KOJIMA,2026-08-15 00:00:24.506000,1.86
15916756,MLRush,2026-08-15 00:01:36.776000,1.75
16557922,Andy liu,2026-08-03 12:09:06.573000,1.69
16371045,Lord Han Solo,2026-08-15 03:52:56.313000,1.65
16680829,BambooCopter Analytics,2026-08-15 02:15:18.686000,1.64
15735428,GeniusYY,2026-08-15 00:03:12.186000,1.64
15491239,Tara Labs,2026-08-15 03:23:14.060000,1.63
15783669,I forgot the name..,2026-08-14 05:44:10.883000,1.62
16551828,Marseilles Bogano,2026-08-15 02:27:29.070000,1.62
15486995,Tufa Labs,2026-08-14 20:19:22.440000,1.62
16406081,Tecnod8.AI,2026-08-15 03:23:48.450000,1.61
15504856,FOYSAL,2026-08-14 15:28:36.176000,1.61
15494354,Van-Phuc Huynh,2026-08-15 04:56:03.226000,1.61
16025402,Helmut AGI,2026-08-15 05:03:53.280000,1.61
15632507,DhanaLakshmiMalla,2026-08-14 18:53:04.193000,1.60
