Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,15486995,Tufa Labs,2026-08-23 12:56:41,4.58,116,"dlorah,driessmit1,infinitecreativity,jeroencottaar,pressman1,stefano1283"
2,16364346,cstl,2026-08-23 18:48:34,3.57,34,"gatamaz,tehnar"
3,16371045,Lord Han Solo,2026-08-23 22:46:52,3.36,41,lordhansolo
4,16665305,Tony G,2026-08-24 00:02:25,3.17,11,junvalue
5,16384837,Daniel Franzen,2026-08-23 14:36:43,2.88,50,dfranzen
6,15497833,Tony Li,2026-08-23 13:00:24,2.80,9,tonylica
7,16296124,Tatu Helander,2026-08-24 00:00:34,2.78,70,tatuhelander
8,15906822,Akhil Tolani,2026-08-23 21:34:07,2.73,75,saltb0x
9,16617501,AbeLincoln1865,2026-08-23 05:08:29,2.72,15,abelincoln1865
10,15972322,wking edewd,2026-08-22 02:47:50,2.70,3,wkingedewd
11,15653548,The AGI Boys,2026-08-23 09:42:55,2.66,44,"johnjanson,naladwepo,romanrozen,romantamrazov"
12,15732416,Jonathan Wang2022,2026-08-23 01:21:37,2.59,12,jonathanwang2022
13,15522677,Junhua Yang,2026-08-23 17:02:37,2.57,143,junhuay
14,16061004,cocoaAI,2026-08-24 00:16:16,2.56,34,cocoaai
15,16706087,rellik13,2026-08-23 19:01:15,2.53,10,sirikilohit
