Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16364346,cstl,2026-08-22 23:00:08,3.57,33,"gatamaz,tehnar"
2,16371045,Lord Han Solo,2026-08-22 22:34:02,3.36,40,lordhansolo
3,15486995,Tufa Labs,2026-08-22 15:45:02,3.04,115,"dlorah,driessmit1,infinitecreativity,jeroencottaar,pressman1,stefano1283"
4,16384837,Daniel Franzen,2026-08-22 18:21:44,2.88,49,dfranzen
5,15906822,Akhil Tolani,2026-08-21 00:04:56,2.73,74,saltb0x
6,16617501,AbeLincoln1865,2026-08-22 04:34:57,2.72,14,abelincoln1865
7,15972322,wking edewd,2026-08-22 02:47:50,2.70,3,wkingedewd
8,15653548,The AGI Boys,2026-08-22 06:37:40,2.66,43,"johnjanson,naladwepo,romanrozen,romantamrazov"
9,15732416,Jonathan Wang2022,2026-08-22 07:24:04,2.59,11,jonathanwang2022
10,15522677,Junhua Yang,2026-08-21 21:01:46,2.57,142,junhuay
11,16061004,cocoaAI,2026-08-23 00:14:32,2.56,33,cocoaai
12,16706087,rellik13,2026-08-21 18:55:10,2.53,9,sirikilohit
13,15891143,Pathik Patel,2026-08-23 00:05:07,2.50,73,pathik1511
14,16205712,DataRegressor,2026-08-21 20:43:24,2.47,14,azzamradman
15,16731398,Pathetic384,2026-08-23 00:01:12,2.47,7,pathetic384
