teamId,teamName,submissionDate,score
16364346,cstl,2026-08-11 18:25:39.310000,2.52
16081764,YUTO KOJIMA,2026-08-11 00:00:40.523000,1.86
16557922,Andy liu,2026-08-03 12:09:06.573000,1.69
16371045,Lord Han Solo,2026-08-11 17:10:18.630000,1.65
15735428,GeniusYY,2026-08-06 00:13:44.720000,1.64
15486995,Tufa Labs,2026-08-11 05:32:50.850000,1.62
16406081,Tecnod8.AI,2026-08-11 11:24:22.353000,1.61
15504856,FOYSAL,2026-08-11 14:41:22.596000,1.61
15494354,hvp,2026-08-11 15:56:16.526000,1.61
16025402,Helmut AGI,2026-08-11 18:49:21.453000,1.61
15632507,DhanaLakshmiMalla,2026-08-11 18:06:52.060000,1.60
15814821,Biubiu,2026-08-09 15:59:30.590000,1.58
15622956,ippeiogawa,2026-08-11 22:51:14.266000,1.58
16609469,Nkosi Ndwandwe,2026-08-12 00:01:49.066000,1.58
16475496,Yuchen20,2026-08-11 22:07:03.606000,1.58
15488219,Mathurin Ache,2026-08-11 06:24:12.230000,1.56
16032510,anngle,2026-07-25 04:14:21.790000,1.56
15609417,NoOneAhead,2026-08-12 00:09:14.893000,1.56
15525358,paul,2026-08-11 09:07:04.846000,1.54
15590762,"Seok, Jeongeum",2026-08-10 15:10:58.956000,1.54
