rank,teamName,score,submissionCount,lastSubmissionDate
1,cstl,3.57,30,2026-08-19 16:11:52
2,Lord Han Solo,2.76,37,2026-08-19 22:15:34
3,The AGI Boys,2.66,40,2026-08-19 05:36:04
4,Jonathan Wang2022,2.59,9,2026-08-19 16:54:11
5,Daniel Franzen,2.58,46,2026-08-19 21:14:28
6,Junhua Yang,2.57,140,2026-08-19 02:15:10
7,cocoaAI,2.56,30,2026-08-20 00:00:42
8,rellik13,2.53,7,2026-08-19 10:44:06
9,Pathetic384,2.47,4,2026-08-20 00:15:00
10,Cyrus,2.43,2,2026-08-18 20:31:09
11,暗黑AGI,2.41,35,2026-08-19 03:05:49
12,WENJIE_Wang-dev,2.39,3,2026-08-19 05:59:01
13,sawada,2.37,21,2026-08-20 00:19:11
14,YUTO KOJIMA,2.37,73,2026-08-19 00:08:58
15,Tanaka Ai24,2.35,14,2026-08-19 12:56:25
