rank,teamId,teamName,submissionDate,score
1,16081764,YUTO KOJIMA,2026-08-11 00:00:40.523000,1.86
2,16557922,Andy liu,2026-08-03 12:09:06.573000,1.69
3,16371045,Lord Han Solo,2026-08-10 19:05:50.396000,1.65
4,15735428,GeniusYY,2026-08-06 00:13:44.720000,1.64
5,15486995,Tufa Labs,2026-08-10 05:13:16.256000,1.62
6,16406081,Tecnod8.AI,2026-08-10 03:45:37.490000,1.61
7,15504856,FOYSAL,2026-08-10 02:03:31.083000,1.61
8,16025402,Helmut AGI,2026-08-10 05:02:52.590000,1.61
9,15632507,DhanaLakshmiMalla,2026-08-10 18:49:45.070000,1.60
10,16364346,cstl,2026-08-09 10:13:38.096000,1.59
11,15814821,Biubiu,2026-08-09 15:59:30.590000,1.58
12,15622956,ippeiogawa,2026-08-10 21:07:42.480000,1.58
13,16609469,Nkosi Ndwandwe,2026-08-11 00:01:19.943000,1.58
14,16475496,Yuchen20,2026-08-10 20:23:16.346000,1.58
15,15488219,Mathurin Ache,2026-08-10 07:55:46.993000,1.56
16,16032510,anngle,2026-07-25 04:14:21.790000,1.56
17,15609417,NoOneAhead,2026-08-11 00:16:33.713000,1.56
18,15525358,paul,2026-08-10 12:55:41.056000,1.54
19,15590762,"Seok, Jeongeum",2026-08-10 15:10:58.956000,1.54
20,15520570,Whatever it takes...,2026-08-10 15:37:39.253000,1.50
